iter	RMSE
0	221.0532131
1	166.684314
2	126.3675603
3	98.65354999
4	79.41014334
5	67.43889949
6	59.07194957
7	53.97837955
8	51.0610993
9	49.08591191
10	47.65036997
11	46.78513832
12	46.21692794
13	45.63997946
14	45.52468682
15	45.29576797
16	45.12236199
17	44.92609292
18	44.72148844
19	44.59464767
20	44.44217136
21	44.26274388
22	44.19445393
23	44.01455303
24	43.95667421
25	43.91011733
26	43.82304003
27	43.71243161
28	43.65992751
29	43.59916637
30	43.54158578
31	43.50205985
32	43.45632714
33	43.38841465
34	43.34005336
35	43.29044136
36	43.24463417
37	43.22064989
38	43.19792825
39	43.15978298
40	43.13213339
41	43.09383557
42	43.03996861
43	42.99934185
44	42.96038397
45	42.93534285
46	42.90620435
47	42.87800324
48	42.85597879
49	42.81663516
50	42.79128918
51	42.76542797
52	42.73101804
53	42.70948513
54	42.68790767
55	42.65624774
56	42.62529782
57	42.5980565
58	42.57497151
59	42.55714481
60	42.52855069
61	42.51316986
62	42.49215024
63	42.45755029
64	42.42538406
65	42.40765667
66	42.38747035
67	42.36953241
68	42.35127017
69	42.33542274
70	42.31953845
71	42.30158631
72	42.28510704
73	42.26961361
74	42.24449531
75	42.2231614
76	42.20033747
77	42.18012353
78	42.1640285
79	42.1492886
80	42.13241663
81	42.12394457
82	42.10997776
83	42.09162796
84	42.08101063
85	42.07195821
86	42.06133834
87	42.04514815
88	42.02099747
89	42.0096493
90	41.99456928
91	41.97349513
92	41.95624702
93	41.95033676
94	41.94386522
95	41.93045307
96	41.92324218
97	41.9139674
98	41.90134015
99	41.881835
100	41.87097766
101	41.86402
102	41.8466177
103	41.83491463
104	41.82319143
105	41.80832846
106	41.80147967
107	41.78226909
108	41.76940071
109	41.75462192
110	41.74950042
111	41.74181509
112	41.7346332
113	41.72262343
114	41.70300986
115	41.68638626
116	41.66624145
117	41.65426441
118	41.6468267
119	41.62915658
120	41.62336804
121	41.61057078
122	41.60141163
123	41.58913293
124	41.57650405
125	41.56134068
126	41.55020746
127	41.53478379
128	41.52162445
129	41.50293046
130	41.48819865
131	41.4720082
132	41.45952128
133	41.45120023
134	41.44098881
135	41.42812617
136	41.41757448
137	41.39977073
138	41.38768225
139	41.37468874
140	41.36300975
141	41.35701636
142	41.34257025
143	41.3325407
144	41.31354318
145	41.30596574
146	41.28991269
147	41.26763961
148	41.25454981
149	41.25039909
150	41.23716934
151	41.22564513
152	41.21147744
153	41.19561761
154	41.18520243
155	41.16217756
156	41.15076926
157	41.13534404
158	41.12983424
159	41.12207659
160	41.11353215
161	41.10329333
162	41.09547201
163	41.0902878
164	41.08611542
165	41.07550276
166	41.07102721
167	41.06199765
168	41.05406589
169	41.03995509
170	41.02272146
171	41.00785491
172	40.99610189
173	40.97983217
174	40.96375676
175	40.94589493
176	40.93110751
177	40.9256711
178	40.91998259
179	40.91609593
180	40.90554137
181	40.8984292
182	40.88920977
183	40.87578368
184	40.85738721
185	40.84991354
186	40.84261679
187	40.83268095
188	40.82899365
189	40.81819297
190	40.80870713
191	40.79282394
192	40.77722605
193	40.76855935
194	40.75955196
195	40.75526814
196	40.74542545
197	40.72360127
198	40.71074202
199	40.69793049
