iter	Passed	Remaining
0	2	501
1	4	457
2	6	453
3	8	440
4	11	438
5	13	442
6	15	439
7	18	441
8	20	441
9	23	437
10	25	437
11	27	436
12	30	435
13	33	438
14	34	424
15	36	420
16	38	417
17	41	414
18	43	411
19	45	407
20	47	403
21	49	399
22	51	396
23	53	395
24	55	391
25	58	388
26	60	386
27	62	383
28	64	381
29	66	379
30	69	377
31	71	373
32	73	370
33	75	368
34	77	366
35	80	364
36	82	362
37	84	359
38	86	357
39	88	354
40	90	352
41	93	350
42	95	348
43	97	346
44	99	343
45	102	341
46	104	339
47	106	337
48	108	334
49	110	332
50	112	329
51	115	327
52	117	326
53	119	324
54	122	321
55	124	318
56	126	316
57	128	314
58	130	312
59	132	310
60	135	307
61	137	305
62	139	303
63	141	300
64	144	299
65	146	297
66	148	295
67	150	292
68	152	290
69	154	287
70	157	285
71	159	283
72	161	280
73	163	278
74	165	276
75	167	273
76	170	271
77	172	269
78	174	266
79	176	264
80	178	262
81	180	260
82	182	257
83	185	255
84	187	253
85	189	250
86	191	248
87	193	246
88	195	244
89	198	242
90	200	239
91	202	237
92	204	235
93	206	232
94	208	230
95	211	228
96	213	226
97	215	223
98	217	221
99	219	219
100	221	216
101	223	214
102	225	212
103	227	210
104	230	208
105	232	205
106	234	203
107	236	201
108	238	199
109	240	196
110	242	194
111	244	192
112	247	190
113	249	188
114	251	186
115	253	183
116	256	181
117	258	179
118	260	177
119	262	174
120	264	172
121	266	170
122	268	168
123	270	165
124	272	163
125	275	161
126	277	159
127	279	157
128	281	154
129	283	152
130	285	150
131	287	148
132	289	145
133	291	143
134	293	141
135	296	139
136	298	137
137	300	134
138	302	132
139	304	130
140	306	128
141	309	126
142	311	123
143	313	121
144	315	119
145	317	117
146	319	115
147	321	113
148	323	110
149	325	108
150	327	106
151	329	104
152	331	101
153	334	99
154	336	97
155	338	95
156	340	93
157	342	91
158	344	88
159	346	86
160	348	84
161	351	82
162	353	80
163	355	78
164	357	75
165	359	73
166	361	71
167	363	69
168	365	67
169	367	64
170	369	62
171	371	60
172	374	58
173	376	56
174	378	54
175	380	51
176	383	49
177	385	47
178	387	45
179	389	43
180	391	41
181	393	38
182	396	36
183	398	34
184	400	32
185	402	30
186	405	28
187	407	26
188	409	23
189	411	21
190	413	19
191	415	17
192	417	15
193	419	12
194	422	10
195	424	8
196	426	6
197	428	4
198	430	2
199	432	0
