gender,age,job,monthly_income,assets,deposit_months,deposit_amount,saving_amount,saving_months
M,56,1,2067,1169123,12,10224,899,12
F,46,0,452,157788,3,630,190,18
M,32,1,881,829125,18,7848,318,12
M,60,1,1645,630547,18,12654,797,30
M,25,0,56,20948,6,162,19,12
F,38,1,217,81646,30,2880,78,18
M,56,1,2833,1011797,12,13344,1156,24
M,36,1,1011,163952,18,6822,344,18
F,40,0,253,153926,18,1710,104,18
F,28,0,495,17216,24,4584,156,6
F,28,0,119,47829,3,171,44,12
M,41,0,618,237300,24,5160,214,6
M,53,1,863,702030,24,8928,391,24
F,57,0,166,77892,24,1296,75,24
F,41,0,688,85887,12,3876,275,3
F,20,0,267,85085,3,288,110,6
F,39,1,2411,499218,30,27510,863,12
F,19,0,62,57350,3,78,27,1
M,41,1,285,56950,18,2160,115,18
M,61,1,304,209889,30,2940,91,12
F,47,1,2858,2288448,24,23064,890,30
M,55,1,1699,1273695,12,9120,632,24
F,19,0,93,69695,24,888,32,1
M,38,0,143,3233,1,27,15,18
M,50,1,2621,4689,24,11112,313,12
F,29,0,376,65715,12,1776,123,18
F,39,0,77,49946,24,768,30,6
F,61,1,2736,2068578,30,40980,1263,12
F,42,0,667,240417,24,6504,289,24
M,44,0,578,15029,24,2040,97,12
M,59,1,405,290251,24,3624,146,12
F,45,0,75,4487,1,28,33,1
M,33,0,31,24631,18,270,9,12
F,32,1,2195,1236776,24,21336,980,18
F,64,1,2292,300352,24,18816,784,24
F,61,1,1129,943835,12,4668,507,30
F,20,0,668,627428,1,300,312,6
F,54,1,2120,163643,12,10668,898,24
M,24,0,55,37457,6,120,18,24
M,38,1,1578,1332220,18,8856,715,18
M,26,0,428,345136,24,4704,209,6
F,56,1,1814,1671999,30,20490,830,12
F,35,1,712,106848,12,2664,238,12
M,21,0,152,17493,1,70,56,12
M,42,1,2898,769801,24,23784,1365,18
F,31,0,134,41389,3,153,57,6
M,26,0,455,381637,18,2754,181,24
F,43,1,1340,397781,18,11016,479,24
F,19,0,196,186096,18,1134,79,18
F,37,0,641,34114,6,1278,260,6
M,45,0,625,512091,6,1818,223,1
F,64,1,950,347610,12,4212,389,24
F,24,0,247,142159,3,291,90,18
M,61,1,2852,2581492,18,17622,1362,18
F,25,0,361,141905,1,172,174,6
F,64,1,2495,1879212,30,35190,993,24
M,52,1,2569,440948,18,15876,1084,18
M,31,0,91,2772,24,912,29,18
F,34,0,121,60861,6,330,53,18
M,53,1,439,17100,24,3552,162,30
M,57,1,1726,414261,18,12078,608,30
F,21,0,581,455484,6,1392,259,3
F,19,0,480,61828,1,231,184,18
F,23,0,480,467970,1,164,211,12
F,59,1,1538,291685,24,13440,532,30
F,21,0,281,160100,12,1044,123,1
F,46,0,206,44716,6,444,92,3
M,35,0,395,179792,1,118,142,18
F,43,1,1826,897131,30,19590,560,30
