gender,age,job,monthly_income,assets,saving_months,saving_amount,deposit_amount,deposit_months
M,61,1,1040,104734,12,166,2995,24
M,96,1,510,44641,24,81,1346,24
F,39,1,2613,270068,24,1332,15991,12
M,98,1,654,26312,12,71,3296,24
M,71,1,2914,431903,12,437,11189,24
M,60,1,826,97102,12,82,1982,12
F,18,0,109,1472,12,12,195,12
M,44,1,2433,300497,24,875,19269,24
F,63,1,1309,54304,24,274,2670,12
F,83,1,2161,101460,24,432,2852,12
M,71,1,2523,223407,24,327,5449,12
F,98,1,943,140586,12,132,1357,12
M,80,1,2748,122899,12,384,6595,24
M,90,1,571,14557,12,91,1370,12
F,50,0,47,247,12,14,47,3
F,97,1,984,11949,12,147,1416,12
F,12,0,20,24,3,3,17,6
F,86,1,1043,123139,24,156,2378,12
M,24,0,190,1249,24,98,615,6
F,54,1,1777,111333,24,675,13647,24
F,71,1,1534,19581,24,291,2577,12
M,10,0,140,1446,1,18,219,12
F,81,1,1614,227542,24,274,2517,12
F,88,1,1811,70651,24,199,2825,12
F,48,0,405,24343,1,133,2818,24
M,11,0,149,2416,24,24,25,1
M,53,1,2957,238124,24,1064,22000,24
F,26,1,946,107254,24,482,11351,24
F,25,0,116,1263,6,61,1364,24
F,28,0,109,2095,6,55,614,12
M,49,0,147,6841,3,52,54,1
F,32,0,178,16824,12,101,266,3
M,11,0,148,1475,12,28,580,24
M,28,0,67,274,6,36,418,12
F,84,1,1828,34539,24,292,7019,24
F,98,1,278,2478,12,33,1067,24
F,44,0,227,17567,1,83,898,12
M,57,1,1707,155178,24,631,6759,12
F,85,1,1134,20964,24,181,5715,24
M,63,1,1979,152789,12,277,7599,24
M,73,1,1684,227416,24,252,3233,12
F,58,1,196,23919,24,78,1834,24
M,46,1,2507,268071,12,1027,24668,24
M,72,1,2480,270726,12,371,8332,24
F,63,1,749,104495,24,89,2876,24
F,32,1,334,11063,24,173,4168,24
M,57,1,1680,7481,12,638,15724,24
M,69,1,1709,250419,12,307,6562,24
F,25,0,161,1132,6,82,965,12
M,95,1,230,28542,24,50,496,12
F,95,1,2532,72845,24,354,3646,12
M,17,1,1775,4826,24,258,3923,12
F,56,1,2883,97359,24,1066,20757,24
F,72,0,294,28545,3,29,185,3
M,18,0,159,1171,1,30,68,3
F,57,1,667,57223,12,266,2961,12
M,78,1,2474,218613,24,296,7125,24
M,87,1,1423,186835,12,199,3585,12
M,85,1,2445,254822,24,366,3520,12
F,32,1,1965,25014,24,1061,11318,12
F,28,0,115,1130,24,54,1241,24
M,11,0,147,2354,6,23,244,12
F,42,0,436,5488,6,174,889,6
M,49,0,349,17799,12,104,2596,24
F,44,0,234,23366,3,67,266,3
M,16,0,77,1601,3,14,192,24
M,30,1,2988,309557,12,1523,18286,12
M,45,1,1157,71797,12,393,11107,24
M,21,0,132,1680,1,60,427,6
F,93,1,2083,121263,12,291,2499,12
M,28,1,255,4615,12,140,3365,24
M,25,0,136,531,1,69,848,12
M,25,0,76,1138,24,37,820,24
M,14,0,182,914,6,20,124,6
F,67,1,2719,206383,12,299,11093,24
F,18,0,197,2878,3,29,583,24
F,74,0,361,26617,1,61,1212,24
M,28,0,127,1332,6,68,175,3
M,54,1,832,87601,24,249,6190,24
M,48,1,2614,344977,24,888,10351,12
F,42,0,441,2546,12,180,3175,24
M,89,1,382,11385,12,61,1925,24
F,56,1,1436,53964,24,502,6203,12
F,12,0,163,633,1,20,190,6
F,85,1,847,120003,24,110,3049,24
F,69,1,719,28074,12,93,1294,12
M,26,0,180,2688,12,82,1943,24
F,91,1,435,5239,12,65,1043,12
F,14,1,1195,63008,12,237,3299,24
M,35,1,242,20551,12,123,1306,12
M,10,1,584,41527,12,98,2150,24
M,12,0,200,3836,24,36,74,3
F,82,1,2081,309331,12,270,4744,12
F,41,1,2261,38448,12,655,18992,24
F,12,1,447,43391,24,69,2013,24
M,26,0,131,2945,24,66,1666,24
M,47,0,211,13262,3,75,215,3
M,60,1,626,76371,24,93,1352,12
F,39,0,125,7855,1,66,1499,24
M,83,1,2055,127966,12,328,6904,24
F,52,1,2086,139412,12,646,8010,12
F,25,0,27,386,12,14,13,1
M,41,0,453,29185,3,135,869,6
F,51,1,2761,344157,24,966,11264,12
F,43,1,2148,94013,12,622,9794,12
M,95,1,2466,261593,24,493,3255,12
F,45,1,1460,191931,12,467,5606,12
M,65,1,905,128354,24,135,1846,12
F,23,0,75,957,6,37,206,6
F,47,0,246,2152,1,78,2125,24
M,95,1,305,4937,12,48,622,12
M,27,1,2338,28407,24,1215,13747,12
M,51,1,2652,193728,24,954,22913,24
F,68,1,1056,113637,12,137,1520,12
F,79,0,131,10886,6,14,19,1
F,45,0,427,38537,3,175,1947,12
F,60,1,2801,237737,24,420,5041,12
M,53,0,152,6621,3,51,638,12
M,21,0,66,66,3,32,871,24
M,12,1,1081,66626,12,167,1558,12
F,11,0,103,423,24,18,16,1
F,47,1,2218,44296,12,842,10912,12
F,84,1,1340,197853,24,147,2733,12
F,69,1,2035,89423,24,366,3174,12
F,44,1,904,16428,12,325,3796,12
F,98,1,1952,216009,12,351,7027,24
F,41,1,2649,220783,12,953,10807,12
M,75,0,481,36936,6,72,404,6
M,81,1,2781,345835,12,417,5673,12
M,45,0,176,10965,1,65,65,1
M,77,1,2825,324170,24,536,4745,12
F,22,1,994,72901,12,506,11927,24
F,14,0,176,2270,12,31,213,12
M,45,0,311,1104,6,105,597,6
F,47,1,891,56209,12,356,6842,24
M,71,1,1164,147564,12,221,5587,24
F,77,1,2043,2169,24,326,3922,12
F,60,0,48,3581,1,7,34,6
M,99,1,1825,180420,24,364,4160,12
M,49,1,2114,144880,12,718,9639,12
M,35,0,188,8158,12,99,101,1
M,91,1,654,58415,12,104,784,12
M,60,1,1385,68911,24,138,4653,24
M,72,0,169,10564,3,25,851,24
M,58,1,327,25244,24,143,1373,12
M,22,1,1169,93543,12,619,6873,12
F,38,0,68,4592,24,30,212,6
M,75,1,2729,384644,12,409,11134,24
F,10,0,27,81,6,3,13,3
F,96,1,234,26633,24,37,280,12
M,76,0,491,31169,6,78,1649,24
M,76,1,1467,66396,12,322,5633,24
F,25,0,184,1006,3,84,259,3
